user,date,post
nooshi713,"March 12, 2019 10:05PM","['breakfast', 'tea', '12', 'tbsp', 'agave', '1', 'scrambled', 'egg', '3', 'veggie', 'bacon', '100g', 'blueberry', 'lunch', 'cuban', 'style', 'black', 'bean', 'white', 'rice', 'bell', 'pepper', 'onion', 'dinner', 'veggie', 'ground', 'taco', 'kale', 'salad', 'cherry', 'dijon', 'vinaigrette', 'snack', 'starbucks', 'dragonfruit', 'drink']"
JennJ323,"March 13, 2019 1:56PM","['breakfast', 'homestyle', 'frozen', 'waffle', 'x2', 'onion', 'chive', 'cream', 'cheese', 'lunch', 'taco', 'salad', 'romaine', 'seasoned', 'ground', 'turkey', 'corn', 'salsa', 'catalina', 'dressing', 'afternoon', 'snack', 'pineapple', 'dinner', 'date', 'night', 'hubby', 'checked', 'menu', 'ahead', 'time', 'plan', 'get', 'iceberg', 'wedge', 'salad', 'pecan', 'crusted', 'grouper', 'sweet', 'potato', 'bacon', 'hash', 'sure', 'share', 'appetizer', 'thinking', 'maybe', 'sausage', 'stuffed', 'hot', 'pepper', 'course', 'wine', 'definitely', 'goal', 'today', 'ok', 'date', 'night', 'nt', 'happen', 'often']"
seltzermint555,"March 13, 2019 3:26PM","['breakfast', 'oatmeal', 'peanut', 'butter', 'strawberry', 'jam', 'coffee', 'lunch', '2', 'vegetarian', 'hot', 'dog', 'wheat', 'bun', 'relish', 'mustard', 'onion', 'small', 'scoop', 'leftover', 'potato', 'salad', '1', 'pear', 'dinner', 'refried', 'bean', 'topped', 'sauted', 'pepper', 'onion', 'cheese', 'salsa', 'sour', 'cream', 'homemade', 'baked', 'raspberrymatcha', 'donut', '2', '3', 'depending', 'calorie', 'left', 'probably', 'matcha', 'tea']"
Sunshine_And_Sand,"March 13, 2019 7:39PM","['breakfast', 'oatmeal', 'shredded', 'zucchini', 'melted', 'cheddar', 'salt', 'pepper', 'lunch', 'left', 'buffalo', 'chicken', 'pizza', 'local', 'pizza', 'place', 'dinner', 'sweet', 'potatoblack', 'bean', 'chili']"
nooshi713,"March 13, 2019 7:41PM","['breakfast', '2', 'scrambled', 'egg', 'tangerine', 'tea', 'lunch', 'kale', 'salad', 'black', 'bean', 'dinner', 'mini', 'veggie', 'pizza', 'snack', 'pineapple']"
NewMeSM75,"March 13, 2019 8:26PM","['breakfast', 'hard', 'boiled', 'egg', 'two', 'turkey', 'sausage', 'link', 'lunch', 'fiber', 'pasta', 'tuna', 'dinner', 'shrimp', 'cocktail', 'sauce', 'coleslaw', 'snack', 'cinnamon', 'sugar', 'fiber', 'cracker']"
rainingribbons,"March 13, 2019 8:38PM","['breakfast', 'breakfast', 'burrito', 'consisting', 'scrambled', 'egg', 'tomato', 'salsa', 'onion', 'pepper', 'turkey', 'bacon', 'lunch', 'work', 'lunch', 'office', 'went', 'korean', 'bbq', 'place', 'way', 'much', 'food', 'good', 'morale', 'activity', 'ton', 'fun', 'tote', 'worth', 'extra', 'calorie', 'probably', 'snack', 'cup', 'coffee', 'dinner', 'salmon', 'shakshuka', 'rice']"
JessAndreia,"March 14, 2019 12:36AM","['w', 'beyond', 'meat', 'sausage', 'chia', 'seed', 'pudding', 'roasted', 'broccoli', 'tofu', 'sandwich', 'hummus', 'spinach', 'rice', 'red', 'bean', 'cabbage', 'two', 'kiwi']"
janejellyroll,"March 14, 2019 3:14PM","['breakfast', 'cardamom', 'granola', 'almond', 'milk', 'lunch', 'vegetable', 'hazelnut', 'stew', 'sauteed', 'pepper', 'onion', 'vegan', 'sour', 'cream', 'baked', 'potato', 'chip', 'dinner', 'ethiopianstyle', 'grit', 'threebean', 'salad']"
seltzermint555,"March 14, 2019 4:15PM","['breakfast', '1', 'baked', 'raspberrymatcha', 'donut', '1', 'boiled', 'egg', 'coffee', 'lunch', 'spicy', 'lentil', 'chocolate', 'smoothie', 'made', '1', 'banana', 'unsweetened', 'almond', 'milk', 'hemp', 'protein', 'powder', 'vanilla', 'extract', 'ice', 'cocoa', 'powder', 'dinner', 'tofu', 'fried', 'rice', 'ton', 'veggie', 'decaf', 'hazelnut', 'tea']"
NewMeSM75,"March 14, 2019 5:23PM","['breakfast', 'protein', 'shake', 'made', 'chocolate', 'protein', 'powder', 'mocha', 'coffee', 'mix', 'lunch', 'salad', 'shrimp', 'chicken', 'parm', 'light', 'ceasar', 'dressing', 'dinner', 'fiberpasta', 'fresh', 'tomato', 'sauce', 'snack', 'peach', 'greek', 'yogurt']"
selizabethwright,"March 14, 2019 7:59PM","['bfast', 'roasted', 'broccoli', 'cauliflower', 'canadian', 'bacon', 'boiled', 'egg', 'snack', 'caramel', 'latte', 'lunch', '2', 'pickle', 'wrapped', 'ham', 'cream', 'cheese', 'snack', 'blackberry', 'hot', 'tea', 'dinner', 'copycat', 'zuppa', 'toscana', 'soup', 'replaced', 'potato', 'cauliflower']"
JennJ323,"March 15, 2019 1:58PM","['breakfast', 'homestyle', 'frozen', 'waffle', 'x2', 'onion', 'chive', 'cream', 'cheese', 'lunch', 'taco', 'salad', 'romaine', 'seasoned', 'ground', 'turkey', 'corn', 'crushed', 'tortilla', 'chip', 'salsa', 'catalina', 'dressing', 'afternoon', 'snack', 'gala', 'apple', 'apple', 'cinnamon', 'fruit', 'grain', 'bar', 'dinner', 'picking', 'sushi', 'way', 'home', 'work', 'make', 'frozen', 'egg', 'roll', 'go']"
seltzermint555,"March 15, 2019 2:15PM","['breakfast', 'salted', 'caramel', 'greek', 'yogurt', 'coffee', 'lunch', 'bowl', 'red', 'bean', 'cooked', 'onion', 'pepper', 'small', 'slice', 'cornbread', 'butter', '12', 'danjou', 'pear', 'splitting', 'last', 'pear', 'husband', 'eat', 'whole', 'thing', 'dinner', 'cauliflowerbased', 'alfredo', 'sauce', 'nutritional', 'yeast', 'served', 'wheat', 'rotini', 'salad', 'mixed', 'green', 'tomato', 'mushroom', 'balsamic', 'probably', 'couple', 'cotton', 'candy', 'peep']"
rainingribbons,"March 15, 2019 9:07PM","['breakfast', 'coffee', 'creamer', 'snack', 'greek', 'yogurt', 'raspberrychia', 'granola', 'lunch', 'chicken', 'enchilada', 'soup', 'shredded', 'cheese', 'sour', 'cream', 'stirred', 'snack', '2', 'slice', 'homemade', 'chocolatepecan', 'pie', 'dinner', 'turkey', 'sausage', 'spinach', 'white', 'bean', 'gnocchi', 'dish', 'dessert', 'probably', 'another', 'slice', 'pie', 'c']"
seltzermint555,"March 17, 2019 4:00AM","['breakfast', '12', 'avocado', 'fried', 'egg', 'toaster', 'waffle', 'lemon', 'curd', 'coffee', 'lunch', 'small', 'plate', 'shrimp', 'vegetable', 'chinese', 'restaurant', 'couple', 'bite', 'rice', 'snack', 'dunkin', 'iced', 'coffee', 'irish', 'creme', 'flavoring', 'epic', 'wagyu', 'beef', 'strip', 'one', 'hail', 'merry', 'lemon', 'cup', 'one', 'hail', 'merry', 'chocolate', 'espresso', 'cup', 'dinner', '3', 'cheesesticks', 'marinara', '2', 'slice', 'thin', 'crust', 'artichoke', 'pizza', 'mazzio']"
lightenuplori,"March 18, 2019 1:01AM","['b', 'apple', 'late', 'church', 'l', 'bowl', 'chili', 'bean', 'saltine', 'banana', 'pb', 'j', 'cutie', 'skim', 'milk', 'built', 'bar', 'chocolate', 'chip', 'cooky', '2']"
nooshi713,"March 18, 2019 3:09AM","['breakfast', '2', 'scrambled', 'egg', 'raspberry', 'pear', 'coffee', 'lunch', 'large', 'salad', 'stir', 'fry', 'shrimp', 'veggie', 'panda', 'snack', '12', 'cup', 'oj', 'orange', 'dad', 'tree', 'small', 'ice', 'cream', 'sandwich', 'dinner', 'half', 'homemade', 'veggie', 'pizza']"
JennJ323,"March 18, 2019 3:02PM","['sorry', 'double', 'post', 'sure', 'delete', 'breakfast', 'elevation', 'carb', 'conscious', 'coconut', 'almond', 'bar', 'lunch', 'chicken', 'broccoli', 'cheddar', 'lean', 'pocket', 'small', 'romaine', 'salad', 'honey', 'mustard', 'dressing', 'strawberry', 'afternoon', 'snack', 'gala', 'apple', 'fiber', 'chocolate', 'fudge', 'soft', 'baked', 'bar', 'dinner', '2', 'homemade', 'fish', 'stick', 'taco', 'roasted', 'potato']"
JennJ323,"March 18, 2019 3:02PM","['breakfast', 'elevation', 'carb', 'conscious', 'coconut', 'almond', 'bar', 'lunch', 'chicken', 'broccoli', 'cheddar', 'lean', 'pocket', 'small', 'romaine', 'salad', 'honey', 'mustard', 'dressing', 'strawberry', 'afternoon', 'snack', 'gala', 'apple', 'fiber', 'chocolate', 'fudge', 'soft', 'baked', 'bar', 'dinner', '2', 'homemade', 'fish', 'taco', 'soft', 'flour', 'tortilla', 'breaded', 'fish', 'stick', 'broccoli', 'slaw', 'spicy', 'mayo', 'sauce', 'roasted', 'potato']"
